game_id,date,season,home_team,away_team,home_score,away_score,total_points,home_win,margin,home_elo_before,away_elo_before,elo_diff,home_ppg_last_3,away_ppg_last_3,home_win_pct_last_3,away_win_pct_last_3,home_ppg_last_5,away_ppg_last_5,home_win_pct_last_5,away_win_pct_last_5,home_ppg_last_10,away_ppg_last_10,home_win_pct_last_10,away_win_pct_last_10,home_rest_days,away_rest_days,rest_advantage,home_court_advantage,implied_spread,implied_total,home_momentum,away_momentum
22200030,2022-10-22,2022-23,ORL,BOS,120,126,246,0,-6,1462.680208587015,1541.1420372772766,-78.46182869026165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-3.1384731476104664,115.0,0.0,0.0
22200029,2022-10-22,2022-23,IND,DET,124,115,239,1,9,1464.8429955545862,1481.137031690356,-16.29403613576983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-0.6517614454307932,115.0,0.0,0.0
22200033,2022-10-22,2022-23,MIL,HOU,125,105,230,1,20,1510.2590956908884,1457.4825985898076,52.77649710108085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-2,1,2.111059884043234,115.0,0.0,0.0
22200036,2022-10-22,2022-23,SAC,LAC,109,111,220,0,-2,1479.2055845832017,1517.945446292933,-38.73986170973126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1,-1.5495944683892504,115.0,0.0,0.0
22200032,2022-10-22,2022-23,CHI,CLE,96,128,224,0,-32,1510.9488793226772,1486.137056388801,24.8118229338761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-2,1,0.9924729173550441,115.0,0.0,0.0
22200035,2022-10-22,2022-23,DEN,OKC,122,117,239,1,5,1489.9703527416082,1479.2055845832017,10.764768158406469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-2,1,0.4305907263362587,115.0,0.0,0.0
22200034,2022-10-22,2022-23,DAL,MEM,137,96,233,1,41,1489.0138771133188,1532.4013922934078,-43.38751518008894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1.7355006072035577,115.0,0.0,0.0
22200041,2022-10-23,2022-23,OKC,MIN,106,116,222,0,-10,1461.842961991738,1501.90172925268,-40.05876726094198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-1.602350690437679,115.0,0.0,0.0
22200038,2022-10-23,2022-23,ATL,CHA,109,126,235,0,-17,1545.2043650166277,1507.5273313560701,37.67703366055753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,-2,1,1.507081346422301,115.0,0.0,0.0
22200040,2022-10-23,2022-23,NOP,UTA,121,122,243,0,-1,1557.1496559049735,1549.8031106977014,7.346545207272129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1,1,0.29386180829088515,115.0,0.0,0.0
