season,game_id,date,matchup,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,total_points,point_differential
2024,0022400062,2024-10-22,LAL vs. MIN,Minnesota Timberwolves,MIN,103,False,0.412,0.317,0.741,47,17,15,Los Angeles Lakers,LAL,110,True,0.442,0.167,0.84,46,22,7,213,7
2024,0022400061,2024-10-22,BOS vs. NYK,New York Knicks,NYK,109,False,0.551,0.367,0.75,34,20,11,Boston Celtics,BOS,132,True,0.505,0.475,0.875,40,33,3,241,23
2024,0022400067,2024-10-23,CLE @ TOR,Cleveland Cavaliers,CLE,136,True,0.586,0.467,0.769,36,29,12,Toronto Raptors,TOR,106,False,0.419,0.387,0.759,38,25,18,242,30
2024,0022400064,2024-10-23,ATL vs. BKN,Brooklyn Nets,BKN,116,False,0.44,0.395,0.76,43,21,17,Atlanta Hawks,ATL,120,True,0.488,0.321,0.717,45,25,16,236,4
2024,0022400063,2024-10-23,IND @ DET,Indiana Pacers,IND,115,True,0.506,0.29,0.88,39,32,15,Detroit Pistons,DET,109,False,0.432,0.273,0.857,38,22,12,224,6
2024,0022400065,2024-10-23,MIA vs. ORL,Orlando Magic,ORL,116,True,0.427,0.367,0.727,57,28,11,Miami Heat,MIA,97,False,0.39,0.324,0.759,41,24,11,213,19
2024,0022400066,2024-10-23,PHI vs. MIL,Milwaukee Bucks,MIL,124,True,0.538,0.432,0.71,46,27,14,Philadelphia 76ers,PHI,109,False,0.418,0.258,0.704,49,18,10,233,15
2024,0022400072,2024-10-23,POR vs. GSW,Golden State Warriors,GSW,140,True,0.516,0.417,0.8,57,38,17,Portland Trail Blazers,POR,104,False,0.391,0.235,0.8,42,21,17,244,36
2024,0022400068,2024-10-23,HOU vs. CHA,Charlotte Hornets,CHA,110,True,0.447,0.385,0.792,56,20,16,Houston Rockets,HOU,105,False,0.369,0.302,0.8,43,19,8,215,5
2024,0022400069,2024-10-23,NOP vs. CHI,Chicago Bulls,CHI,111,False,0.488,0.294,0.68,47,26,21,New Orleans Pelicans,NOP,123,True,0.464,0.378,0.905,42,29,11,234,12
2024,0022400070,2024-10-23,UTA vs. MEM,Memphis Grizzlies,MEM,126,True,0.473,0.378,0.719,41,28,12,Utah Jazz,UTA,124,False,0.471,0.385,0.756,49,21,14,250,2
2024,0022400071,2024-10-23,PHX @ LAC,Phoenix Suns,PHX,116,True,0.487,0.395,0.735,42,25,22,LA Clippers,LAC,113,False,0.457,0.276,0.7,51,27,21,229,3
2024,0022400076,2024-10-24,SAC vs. MIN,Minnesota Timberwolves,MIN,117,True,0.477,0.4,0.882,42,24,16,Sacramento Kings,SAC,115,False,0.463,0.379,0.8,38,21,9,232,2
2024,0022400075,2024-10-24,DEN vs. OKC,Oklahoma City Thunder,OKC,102,True,0.426,0.222,0.667,49,23,12,Denver Nuggets,DEN,87,False,0.357,0.184,0.714,57,29,15,189,15
2024,0022400073,2024-10-24,WAS vs. BOS,Boston Celtics,BOS,122,True,0.467,0.378,0.778,49,21,14,Washington Wizards,WAS,102,False,0.432,0.194,0.722,40,27,13,224,20
2024,0022400074,2024-10-24,SAS @ DAL,San Antonio Spurs,SAS,109,False,0.453,0.333,0.792,52,30,19,Dallas Mavericks,DAL,120,True,0.412,0.432,0.739,50,27,9,229,11
2024,0022400079,2024-10-25,CHA @ ATL,Charlotte Hornets,CHA,120,False,0.385,0.412,0.806,53,22,17,Atlanta Hawks,ATL,125,True,0.481,0.368,0.868,39,25,13,245,5
2024,0022400085,2024-10-25,PHX @ LAL,Phoenix Suns,PHX,116,False,0.512,0.459,0.882,34,35,16,Los Angeles Lakers,LAL,123,True,0.533,0.519,0.744,37,33,12,239,7
2024,0022400081,2024-10-25,NYK vs. IND,Indiana Pacers,IND,98,False,0.494,0.1,0.65,33,28,15,New York Knicks,NYK,123,True,0.524,0.444,0.793,43,19,11,221,25
2024,0022400084,2024-10-25,GSW @ UTA,Golden State Warriors,GSW,127,True,0.481,0.4,0.833,60,35,13,Utah Jazz,UTA,86,False,0.315,0.214,0.731,45,18,22,213,41
2024,0022400080,2024-10-25,DET @ CLE,Detroit Pistons,DET,101,False,0.469,0.406,0.706,42,25,22,Cleveland Cavaliers,CLE,113,True,0.512,0.382,0.696,39,28,12,214,12
2024,0022400086,2024-10-25,POR vs. NOP,New Orleans Pelicans,NOP,105,True,0.419,0.375,0.677,44,25,14,Portland Trail Blazers,POR,103,False,0.411,0.351,0.8,48,26,19,208,2
2024,0022400082,2024-10-25,HOU vs. MEM,Memphis Grizzlies,MEM,108,False,0.418,0.357,0.611,43,24,17,Houston Rockets,HOU,128,True,0.439,0.395,0.694,64,20,17,236,20
2024,0022400078,2024-10-25,TOR vs. PHI,Philadelphia 76ers,PHI,107,False,0.382,0.31,0.755,28,19,16,Toronto Raptors,TOR,115,True,0.461,0.261,0.848,54,25,26,222,8
2024,0022400077,2024-10-25,ORL vs. BKN,Brooklyn Nets,BKN,101,False,0.422,0.378,0.81,37,22,17,Orlando Magic,ORL,116,True,0.52,0.5,0.697,39,28,12,217,15
2024,0022400083,2024-10-25,MIL vs. CHI,Chicago Bulls,CHI,133,True,0.479,0.447,0.87,46,30,9,Milwaukee Bucks,MIL,122,False,0.495,0.325,0.68,47,24,14,255,11
2024,0022400096,2024-10-26,SAC @ LAL,Sacramento Kings,SAC,127,False,0.511,0.341,0.88,32,32,14,Los Angeles Lakers,LAL,131,True,0.522,0.412,0.875,45,32,19,258,4
2024,0022400091,2024-10-26,CHI vs. OKC,Oklahoma City Thunder,OKC,114,True,0.421,0.2,0.8,54,21,10,Chicago Bulls,CHI,95,False,0.348,0.283,0.727,61,23,26,209,19
2024,0022400092,2024-10-26,MEM vs. ORL,Orlando Magic,ORL,111,False,0.425,0.354,0.714,41,21,19,Memphis Grizzlies,MEM,124,True,0.535,0.382,0.792,42,38,18,235,13
2024,0022400090,2024-10-26,WAS vs. CLE,Cleveland Cavaliers,CLE,135,True,0.534,0.462,0.676,48,27,16,Washington Wizards,WAS,116,False,0.385,0.349,0.844,46,25,15,251,19
2024,0022400093,2024-10-26,MIN vs. TOR,Toronto Raptors,TOR,101,False,0.456,0.345,0.692,46,29,20,Minnesota Timberwolves,MIN,112,True,0.47,0.378,0.769,41,29,13,213,11
2024,0022400088,2024-10-26,CHA vs. MIA,Miami Heat,MIA,114,True,0.465,0.412,0.714,43,33,13,Charlotte Hornets,CHA,106,False,0.438,0.317,0.714,46,20,17,220,8
2024,0022400094,2024-10-26,HOU @ SAS,Houston Rockets,HOU,106,False,0.413,0.317,0.81,34,21,10,San Antonio Spurs,SAS,109,True,0.494,0.4,0.821,49,23,17,215,3
2024,0022400095,2024-10-26,DAL @ PHX,Dallas Mavericks,DAL,102,False,0.398,0.317,0.833,46,22,8,Phoenix Suns,PHX,114,True,0.45,0.359,0.757,47,26,11,216,12
2024,0022400089,2024-10-26,DET vs. BOS,Boston Celtics,BOS,124,True,0.422,0.458,0.867,37,19,10,Detroit Pistons,DET,118,False,0.489,0.359,0.818,44,27,14,242,6
2024,0022400087,2024-10-26,LAC @ DEN,LA Clippers,LAC,109,True,0.488,0.364,0.81,44,30,16,Denver Nuggets,DEN,104,False,0.402,0.4,0.833,37,20,10,213,5
2024,0022400100,2024-10-27,OKC vs. ATL,Atlanta Hawks,ATL,104,False,0.396,0.323,0.759,49,24,19,Oklahoma City Thunder,OKC,128,True,0.494,0.4,0.75,45,26,10,232,24
2024,0022400101,2024-10-27,GSW vs. LAC,LA Clippers,LAC,112,True,0.467,0.313,0.783,48,27,18,Golden State Warriors,GSW,104,False,0.432,0.326,0.636,47,19,21,216,8
2024,0022400099,2024-10-27,NOP @ POR,New Orleans Pelicans,NOP,103,False,0.432,0.276,0.792,39,24,15,Portland Trail Blazers,POR,125,True,0.462,0.4,0.781,51,25,16,228,22
2024,0022400098,2024-10-27,BKN vs. MIL,Milwaukee Bucks,MIL,102,False,0.446,0.303,0.839,43,20,18,Brooklyn Nets,BKN,115,True,0.429,0.356,0.913,47,23,12,217,13
2024,0022400097,2024-10-27,IND vs. PHI,Philadelphia 76ers,PHI,118,True,0.429,0.262,0.742,54,15,19,Indiana Pacers,IND,114,False,0.464,0.406,0.676,37,28,19,232,4
2024,0022400109,2024-10-28,SAS vs. HOU,Houston Rockets,HOU,106,True,0.412,0.405,0.875,43,20,12,San Antonio Spurs,SAS,101,False,0.425,0.303,0.81,49,22,17,207,5
2024,0022400103,2024-10-28,ATL vs. WAS,Washington Wizards,WAS,121,True,0.451,0.477,0.818,43,24,18,Atlanta Hawks,ATL,119,False,0.481,0.375,0.722,39,32,16,240,2
2024,0022400102,2024-10-28,IND @ ORL,Indiana Pacers,IND,115,False,0.466,0.448,0.667,44,25,12,Orlando Magic,ORL,119,True,0.47,0.317,0.737,46,26,15,234,4
2024,0022400108,2024-10-28,MEM vs. CHI,Chicago Bulls,CHI,126,True,0.45,0.472,0.647,50,36,9,Memphis Grizzlies,MEM,123,False,0.459,0.326,0.538,60,37,10,249,3
2024,0022400111,2024-10-28,PHX vs. LAL,Los Angeles Lakers,LAL,105,False,0.415,0.438,0.722,46,25,11,Phoenix Suns,PHX,109,True,0.46,0.306,0.9,46,21,10,214,4
2024,0022400112,2024-10-28,SAC vs. POR,Portland Trail Blazers,POR,98,False,0.422,0.182,0.8,46,17,17,Sacramento Kings,SAC,111,True,0.457,0.4,0.92,40,25,14,209,13
2024,0022400105,2024-10-28,DET @ MIA,Detroit Pistons,DET,98,False,0.385,0.368,0.824,54,14,16,Miami Heat,MIA,106,True,0.432,0.319,0.75,44,24,9,204,8
2024,0022400106,2024-10-28,NYK vs. CLE,Cleveland Cavaliers,CLE,110,True,0.476,0.333,0.833,41,21,13,New York Knicks,NYK,104,False,0.444,0.321,0.833,43,22,16,214,6
2024,0022400107,2024-10-28,TOR vs. DEN,Denver Nuggets,DEN,127,True,0.49,0.45,0.8,52,29,16,Toronto Raptors,TOR,125,False,0.45,0.286,0.81,54,30,15,252,2
2024,0022400104,2024-10-28,MIL @ BOS,Milwaukee Bucks,MIL,108,False,0.451,0.258,0.839,43,18,16,Boston Celtics,BOS,119,True,0.494,0.383,0.789,38,24,12,227,11
2024,0022400110,2024-10-28,UTA @ DAL,Utah Jazz,UTA,102,False,0.37,0.286,0.828,50,24,13,Dallas Mavericks,DAL,110,True,0.453,0.282,0.765,50,27,13,212,8
2024,0022400114,2024-10-29,MIN vs. DAL,Dallas Mavericks,DAL,120,True,0.484,0.41,0.778,40,25,9,Minnesota Timberwolves,MIN,114,False,0.506,0.487,0.654,42,33,20,234,6
2024,0022400116,2024-10-29,NOP @ GSW,New Orleans Pelicans,NOP,106,False,0.541,0.409,0.708,44,23,23,Golden State Warriors,GSW,124,True,0.474,0.457,0.846,34,34,7,230,18
2024,0022400115,2024-10-29,UTA vs. SAC,Sacramento Kings,SAC,113,True,0.522,0.258,0.643,49,26,11,Utah Jazz,UTA,96,False,0.393,0.292,0.857,42,24,17,209,17
2024,0022400113,2024-10-29,DEN @ BKN,Denver Nuggets,DEN,144,True,0.517,0.481,0.83,43,31,5,Brooklyn Nets,BKN,139,False,0.51,0.385,0.778,41,37,8,283,5
2024,0022400120,2024-10-30,DET @ PHI,Detroit Pistons,DET,105,True,0.462,0.417,0.818,49,23,16,Philadelphia 76ers,PHI,95,False,0.418,0.286,0.75,37,17,9,200,10
