season,game_id,date,matchup,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,total_points,point_differential
2023,0022300089,2023-10-28,WAS vs. MEM,Washington Wizards,WAS,113,True,0.43,0.348,0.773,45,24,11,Memphis Grizzlies,MEM,106,False,0.429,0.404,1.0,45,27,16,219,7
2023,0022300094,2023-10-28,PHX vs. UTA,Phoenix Suns,PHX,126,True,0.529,0.27,0.929,39,31,11,Utah Jazz,UTA,104,False,0.44,0.324,0.857,45,26,18,230,22
2023,0022300091,2023-10-28,CLE vs. IND,Cleveland Cavaliers,CLE,113,False,0.434,0.387,0.625,51,29,6,Indiana Pacers,IND,125,True,0.49,0.395,0.824,48,36,7,238,12
2023,0022300088,2023-10-28,CHI @ DET,Detroit Pistons,DET,118,True,0.523,0.429,0.8,53,29,15,Chicago Bulls,CHI,102,False,0.419,0.393,0.813,33,16,8,220,16
2023,0022300096,2023-10-29,GSW @ HOU,Houston Rockets,HOU,95,False,0.378,0.273,0.947,42,22,7,Golden State Warriors,GSW,106,True,0.432,0.4,0.783,49,27,14,201,11
2023,0022300095,2023-10-29,OKC vs. DEN,Oklahoma City Thunder,OKC,95,False,0.411,0.188,0.833,29,22,9,Denver Nuggets,DEN,128,True,0.602,0.407,0.846,48,34,13,223,33
2023,0022300098,2023-10-29,PHI vs. POR,Philadelphia 76ers,PHI,126,True,0.488,0.393,0.875,51,28,15,Portland Trail Blazers,POR,98,False,0.383,0.226,0.864,42,19,15,224,28
2023,0022300099,2023-10-29,SAS @ LAC,LA Clippers,LAC,123,True,0.516,0.381,0.619,48,23,16,San Antonio Spurs,SAS,83,False,0.375,0.333,0.75,37,21,25,206,40
2023,0022300097,2023-10-29,MIL vs. ATL,Milwaukee Bucks,MIL,110,False,0.453,0.364,0.8,39,22,23,Atlanta Hawks,ATL,127,True,0.505,0.405,0.818,46,32,17,237,17
2023,0022300100,2023-10-29,SAC vs. LAL,Sacramento Kings,SAC,132,True,0.471,0.354,0.708,47,30,10,Los Angeles Lakers,LAL,127,False,0.439,0.333,0.765,53,27,12,259,5
