season,game_id,date,matchup,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,total_points,point_differential
2021,0022100002,2021-10-19,GSW @ LAL,Golden State Warriors,GSW,121,True,0.441,0.359,0.833,50,30,17,Los Angeles Lakers,LAL,114,False,0.474,0.357,0.474,45,21,17,235,7
2021,0022100001,2021-10-19,MIL vs. BKN,Brooklyn Nets,BKN,104,False,0.44,0.531,0.565,44,19,12,Milwaukee Bucks,MIL,127,True,0.457,0.378,0.778,54,25,7,231,23
2021,0022100012,2021-10-20,DEN @ PHX,Denver Nuggets,DEN,110,True,0.53,0.436,0.556,46,25,17,Phoenix Suns,PHX,98,False,0.414,0.378,0.706,45,23,18,208,12
2021,0022100004,2021-10-20,DET vs. CHI,Chicago Bulls,CHI,94,True,0.43,0.304,0.867,48,18,17,Detroit Pistons,DET,88,False,0.4,0.214,0.769,47,17,16,182,6
2021,0022100009,2021-10-20,NOP vs. PHI,Philadelphia 76ers,PHI,117,True,0.518,0.52,0.8,47,24,12,New Orleans Pelicans,NOP,97,False,0.419,0.433,0.667,44,28,13,214,20
2021,0022100011,2021-10-20,UTA vs. OKC,Oklahoma City Thunder,OKC,86,False,0.374,0.2,0.611,50,19,14,Utah Jazz,UTA,107,True,0.44,0.298,0.867,53,18,10,193,21
2021,0022100007,2021-10-20,CLE @ MEM,Cleveland Cavaliers,CLE,121,False,0.505,0.368,0.722,36,38,10,Memphis Grizzlies,MEM,132,True,0.53,0.424,1.0,53,28,10,253,11
2021,0022100006,2021-10-20,WAS @ TOR,Washington Wizards,WAS,98,True,0.444,0.185,0.808,51,20,21,Toronto Raptors,TOR,83,False,0.309,0.206,0.727,54,14,19,181,15
2021,0022100010,2021-10-20,SAS vs. ORL,Orlando Magic,ORL,97,False,0.407,0.31,0.783,44,17,16,San Antonio Spurs,SAS,123,True,0.5,0.433,0.667,43,32,8,220,26
2021,0022100003,2021-10-20,IND @ CHA,Indiana Pacers,IND,122,False,0.467,0.362,0.875,51,29,16,Charlotte Hornets,CHA,123,True,0.43,0.419,0.667,46,29,8,245,1
2021,0022100005,2021-10-20,NYK vs. BOS,Boston Celtics,BOS,134,False,0.41,0.368,0.739,56,34,18,New York Knicks,NYK,138,True,0.486,0.378,0.704,55,27,17,272,4
2021,0022100013,2021-10-20,SAC @ POR,Sacramento Kings,SAC,124,True,0.457,0.415,0.793,43,24,10,Portland Trail Blazers,POR,121,False,0.484,0.343,0.864,49,25,12,245,3
